,y_test,m1_y_pred,m2_y_pred
0,2,2,2
1,2,2,2
2,5,5,5
3,6,1,1
4,0,0,0
5,2,2,2
6,5,5,5
7,4,1,1
8,1,1,1
9,2,2,2
10,5,5,5
11,6,6,6
12,0,0,0
13,2,2,2
14,5,5,5
15,6,6,6
16,0,0,0
17,5,5,5
18,4,1,1
19,1,1,1
20,2,2,2
21,5,5,5
22,4,6,6
23,1,1,1
24,2,2,2
25,2,2,2
26,5,5,5
27,6,6,6
28,3,0,0
29,2,2,2
30,5,5,5
31,4,1,1
32,1,1,1
33,2,2,2
34,5,5,5
35,6,6,6
36,0,0,1
37,2,2,2
38,5,5,5
39,6,6,6
40,3,0,0
41,2,2,2
42,5,5,5
43,6,6,6
44,0,0,0
45,2,2,2
46,2,2,2
47,5,5,5
48,6,6,6
49,0,0,0
50,5,5,5
51,4,6,6
52,1,1,1
53,2,2,2
54,5,5,5
55,6,6,6
56,4,0,0
57,1,1,1
58,2,2,2
59,5,5,5
60,6,6,6
61,0,0,0
62,2,2,2
63,5,5,5
64,1,1,6
65,2,2,2
66,5,5,5
67,1,6,1
68,4,4,4
69,2,2,2
70,5,5,5
71,3,6,6
72,2,2,2
73,5,5,5
74,6,1,6
75,0,0,0
76,2,2,2
77,5,5,5
78,6,1,1
79,0,0,0
80,2,2,2
81,5,5,5
82,6,6,6
83,0,0,0
84,2,2,2
85,5,5,5
86,1,6,1
87,4,4,4
88,2,2,2
89,5,5,5
90,1,1,6
91,2,2,2
92,5,5,5
93,6,6,6
94,0,0,0
95,2,2,2
96,5,5,5
97,6,6,6
98,0,0,0
99,2,2,2
100,5,5,5
101,1,1,6
102,2,2,2
103,5,5,5
104,1,6,1
105,2,2,2
106,5,5,5
107,1,6,6
108,2,2,2
109,5,5,5
110,1,6,6
111,4,4,4
112,2,2,2
113,5,5,5
114,6,1,6
115,3,1,1
116,2,2,2
117,5,5,5
118,6,6,6
119,3,0,0
120,2,2,2
121,5,5,5
122,1,6,6
123,2,2,2
124,5,5,5
125,6,1,1
126,0,0,0
127,2,2,2
128,5,5,5
129,6,6,1
130,3,0,0
131,2,2,2
132,5,5,5
133,1,6,6
134,2,2,2
135,5,5,5
136,6,6,6
137,3,0,0
138,2,2,2
139,5,5,5
140,6,6,6
141,3,0,0
142,2,2,2
143,5,5,5
144,6,1,1
145,1,0,0
146,4,4,4
147,2,2,2
148,5,5,5
149,6,6,6
150,0,0,0
151,2,2,2
152,5,5,5
153,1,6,1
154,2,2,2
155,5,5,5
156,6,6,1
157,0,0,0
158,2,2,2
159,5,5,5
160,1,6,6
161,4,4,4
162,2,2,2
163,5,5,5
164,6,1,6
165,0,0,0
166,2,2,2
167,5,5,5
168,6,6,1
169,0,0,0
170,2,2,2
171,5,5,5
172,1,6,6
173,2,2,2
174,5,5,5
175,1,6,6
176,2,2,2
177,5,5,5
178,1,6,6
179,4,4,4
180,2,2,2
181,5,5,5
182,6,6,6
183,3,0,0
184,2,2,2
185,5,5,5
186,6,6,6
187,0,0,0
188,2,2,2
189,5,5,5
190,6,6,6
191,0,0,0
192,2,2,2
193,5,5,5
194,1,6,6
195,2,2,2
196,5,5,5
197,6,6,6
198,3,0,0
199,2,2,2
200,5,5,5
201,1,6,6
202,2,2,2
203,5,5,5
204,1,1,1
205,2,2,2
206,5,5,5
207,1,6,6
208,2,2,2
209,5,5,5
210,6,1,1
211,3,0,0
212,2,2,2
213,5,5,5
214,4,6,6
215,1,1,1
216,2,2,2
217,5,5,5
218,1,6,6
219,2,2,2
220,5,5,5
221,1,6,6
222,2,2,2
223,5,5,5
224,1,1,1
225,2,2,2
226,5,5,5
227,6,6,1
228,4,0,0
229,1,1,1
230,2,2,2
231,5,5,5
232,0,6,6
233,2,2,2
234,5,5,5
235,6,6,6
236,0,0,0
237,2,2,2
238,5,5,5
239,6,6,1
240,0,0,0
241,2,2,2
242,5,5,5
243,6,6,6
244,0,0,0
245,2,2,2
246,5,5,5
247,4,1,6
248,1,1,1
249,2,2,2
250,5,5,5
251,1,6,6
252,4,4,4
253,2,2,2
254,5,5,5
255,4,6,6
256,5,5,5
257,1,1,1
258,2,2,2
259,5,5,5
260,6,6,6
261,0,0,0
262,1,1,1
263,4,4,4
264,2,2,2
265,5,5,5
266,1,1,6
267,4,4,4
268,2,2,2
269,2,2,2
270,5,5,5
271,4,1,1
272,1,1,1
273,2,2,2
274,5,5,5
275,6,6,6
276,3,0,0
277,2,2,2
278,5,5,5
279,6,6,6
280,0,0,0
281,2,2,2
282,5,5,5
283,6,6,6
284,0,0,0
285,2,2,2
286,5,5,5
287,6,6,1
288,0,0,0
289,2,2,2
290,5,5,5
291,1,6,6
292,2,2,2
293,2,2,2
294,5,5,5
295,6,6,6
296,0,0,0
297,5,5,5
298,1,6,6
299,4,4,4
300,2,2,2
301,5,5,5
302,6,6,6
303,4,0,0
304,1,1,1
305,2,2,2
306,5,5,5
307,1,6,6
308,4,4,4
309,2,2,2
310,5,5,5
311,6,6,6
312,0,0,0
313,2,2,2
314,5,5,5
315,6,6,6
316,0,0,0
317,2,2,2
318,2,2,2
319,5,5,5
320,6,6,6
321,1,0,0
322,4,4,2
323,2,2,2
324,5,5,5
325,6,6,6
326,0,0,0
327,5,5,5
328,6,1,1
329,1,0,0
330,4,4,4
331,2,2,2
332,5,5,5
333,1,0,0
334,4,4,4
335,2,2,2
336,5,5,5
337,1,6,6
338,4,4,4
339,2,2,2
340,5,5,5
341,6,6,6
342,0,0,0
343,2,2,2
344,5,5,5
345,6,6,6
346,0,0,0
347,2,2,2
348,5,5,5
349,6,6,6
350,3,0,0
351,2,2,2
352,5,5,5
353,4,6,6
354,1,1,1
355,2,2,2
356,5,5,5
357,1,6,6
358,2,2,2
359,5,5,5
360,6,6,1
361,1,0,0
362,2,2,2
363,5,5,5
364,1,6,1
365,4,4,4
366,2,2,2
367,5,5,5
368,1,6,6
369,2,2,2
370,5,5,5
371,4,1,1
372,1,1,1
373,2,2,2
374,5,5,5
375,6,6,6
376,0,0,0
377,2,2,2
378,5,5,5
379,1,6,6
380,2,2,2
381,5,5,5
382,6,1,1
383,3,0,0
384,2,2,2
385,5,5,5
386,6,1,1
387,0,0,0
388,2,2,2
389,5,5,5
390,6,6,1
391,0,0,0
392,2,2,2
393,5,5,5
394,6,6,1
395,3,0,0
396,2,2,2
397,5,5,5
398,4,6,1
399,1,1,1
400,2,2,2
401,5,5,5
402,6,6,6
403,0,0,0
404,2,2,2
405,5,5,5
406,1,6,6
407,2,2,2
408,5,5,5
409,1,1,1
410,2,2,2
411,5,5,5
412,6,1,1
413,0,0,0
414,2,2,2
415,5,5,5
416,1,6,6
417,2,2,2
418,5,5,5
419,4,6,6
420,1,1,1
421,2,2,2
422,5,5,5
423,1,6,6
424,2,2,2
425,5,5,5
426,6,6,1
427,0,0,0
428,2,2,2
429,5,5,5
430,1,6,6
431,2,2,2
432,5,5,5
433,6,1,1
434,0,0,0
435,2,2,2
436,5,5,5
437,6,6,6
438,0,0,0
439,2,2,2
440,5,5,5
441,6,6,6
442,1,0,0
443,4,4,4
444,2,2,2
445,5,5,5
446,6,6,6
447,0,0,0
448,2,2,2
449,5,5,5
450,6,6,6
451,0,0,0
452,2,2,2
453,5,5,5
454,1,1,1
455,4,4,4
456,2,2,2
457,5,5,5
458,1,1,1
