,y_test,m1_y_pred,m2_y_pred
0,2,4,4
1,2,4,4
2,2,2,2
3,2,2,2
4,1,1,1
5,4,4,4
6,2,4,4
7,2,2,2
8,2,2,2
9,2,2,2
10,1,2,2
11,3,3,3
12,3,3,3
13,3,3,3
14,3,3,3
15,5,4,4
16,4,4,4
17,4,4,4
18,4,4,4
19,4,4,4
20,4,4,4
21,4,4,4
22,2,2,2
23,2,2,2
24,1,2,2
25,3,1,3
26,3,3,3
27,3,3,3
28,3,3,3
29,1,3,3
30,3,3,3
31,3,3,3
32,4,4,4
33,1,3,3
34,3,1,3
35,3,3,3
36,3,3,3
37,1,3,3
38,1,3,1
39,1,1,1
40,4,4,4
41,2,4,4
42,2,2,2
43,2,2,2
44,2,2,2
45,2,2,2
46,2,2,2
47,4,4,4
48,3,3,3
49,3,3,3
50,1,3,3
51,4,4,4
52,2,4,4
53,2,2,2
54,1,1,1
55,3,3,3
56,3,3,3
57,3,3,3
58,3,3,3
59,4,4,4
60,3,3,3
61,3,3,3
62,3,3,3
63,3,3,3
64,1,3,3
65,4,4,4
66,2,4,4
67,2,2,2
68,2,2,2
69,1,2,2
70,1,3,3
71,3,3,3
72,3,3,3
73,4,4,4
74,4,4,4
75,4,4,4
76,4,4,4
77,4,4,4
78,4,4,4
79,4,4,4
80,4,4,4
81,4,4,4
82,4,4,4
83,4,4,4
84,4,4,4
85,4,4,4
86,4,4,4
87,4,4,4
88,4,4,4
89,2,4,4
90,4,4,4
91,4,4,4
92,4,4,4
93,4,4,4
94,4,4,4
95,4,4,2
96,4,4,3
97,0,4,3
98,0,2,1
99,4,4,4
100,4,4,4
101,4,4,4
102,4,4,4
103,4,4,4
104,4,4,4
105,4,4,4
106,4,4,4
107,4,4,4
108,4,4,4
109,2,4,4
110,2,2,2
111,2,2,2
112,1,2,2
113,3,3,3
114,1,3,3
115,1,1,3
116,4,4,4
117,4,4,4
118,4,4,4
119,4,4,4
120,2,2,2
121,2,2,2
122,2,2,2
123,2,2,2
124,2,2,2
125,2,2,2
126,2,2,2
127,2,2,2
128,4,4,4
129,2,4,4
130,2,2,2
131,2,2,2
132,2,2,2
133,2,2,2
134,2,2,2
135,2,2,2
136,4,4,4
137,2,4,4
138,2,2,2
139,2,2,2
140,1,1,1
141,2,4,4
142,2,2,2
143,1,1,1
144,1,3,3
145,5,4,4
146,5,5,5
147,4,5,5
148,4,4,5
149,4,4,4
150,4,4,4
151,5,4,4
152,4,4,4
153,4,4,4
154,4,4,4
155,4,4,4
156,4,4,4
157,2,4,4
158,1,1,1
159,2,4,4
160,1,1,1
161,4,5,5
162,1,3,3
163,3,3,3
164,3,3,3
165,3,3,3
166,3,3,3
167,3,3,3
168,3,1,3
169,1,1,1
170,4,4,4
171,2,4,4
172,2,2,2
173,2,2,2
174,2,2,2
175,2,2,2
176,2,2,2
177,1,2,2
178,2,4,4
179,2,2,2
180,2,2,2
181,1,1,1
182,1,1,1
183,4,4,4
184,4,4,4
185,4,4,4
186,4,4,4
187,4,4,4
188,4,4,4
189,4,4,4
190,4,4,4
191,4,4,4
192,4,4,4
193,4,4,4
194,4,4,4
195,4,4,4
196,4,4,4
197,4,4,4
198,4,4,4
199,4,4,4
200,4,4,4
201,4,4,4
202,4,4,4
203,4,4,4
204,3,3,3
205,3,3,3
206,3,1,1
207,3,3,3
208,3,3,3
209,3,3,3
210,3,3,1
211,3,3,3
212,3,3,3
213,3,3,3
214,4,4,4
215,3,1,1
216,3,3,3
217,3,3,3
218,3,3,3
219,3,3,3
220,3,3,3
221,3,3,3
222,3,3,3
223,3,3,3
224,3,3,3
225,2,4,4
226,3,3,3
227,3,3,3
228,3,3,3
229,3,3,3
230,3,3,3
231,3,3,1
232,2,2,2
233,2,2,2
234,1,2,2
235,1,3,3
236,3,3,3
237,3,3,3
238,4,4,4
239,2,2,2
240,2,2,2
241,2,2,2
242,2,2,2
243,2,4,4
244,2,2,2
245,2,2,2
246,2,2,2
247,2,2,2
248,2,2,2
249,2,2,2
250,2,2,2
251,4,4,4
252,4,4,4
253,4,2,2
254,4,4,4
255,2,4,4
256,2,2,2
257,2,2,2
258,1,1,1
259,4,4,4
260,2,2,2
261,2,2,2
262,2,4,4
263,2,2,2
264,2,2,2
265,2,2,2
266,2,2,2
267,2,2,2
268,2,2,2
269,2,2,2
270,2,4,4
271,2,2,2
272,2,2,2
273,2,2,2
274,4,4,4
275,4,4,4
276,4,4,4
277,4,4,4
278,4,4,4
279,4,4,4
280,4,4,4
281,4,4,4
282,4,4,4
283,2,4,4
284,2,2,2
285,4,4,4
286,2,2,2
287,2,2,2
288,2,2,2
289,2,2,2
290,2,2,2
291,2,2,2
292,4,4,4
293,4,4,4
294,4,4,4
295,4,4,4
296,4,4,4
297,4,2,4
298,4,4,2
299,4,4,4
300,3,3,3
301,3,3,3
302,3,3,3
303,3,3,3
304,3,3,3
305,3,3,3
306,3,3,3
307,3,3,3
308,3,3,3
309,4,4,4
310,4,4,4
311,2,4,4
312,2,2,2
313,1,1,1
314,1,1,3
315,3,1,3
316,3,3,3
317,4,4,4
318,4,4,4
319,4,4,4
320,2,4,4
321,2,2,2
322,2,2,2
323,1,1,1
324,4,4,4
325,4,4,4
326,4,4,4
327,4,4,4
328,4,4,4
329,4,4,4
330,4,4,4
331,4,4,4
332,2,2,4
333,3,3,3
334,3,3,3
335,3,3,3
336,3,3,3
337,3,3,3
338,1,3,3
339,1,1,2
340,1,3,3
341,3,3,3
342,3,3,3
343,3,1,3
344,3,3,3
345,3,3,3
346,3,3,1
347,4,4,4
348,4,4,4
349,2,4,4
350,2,2,2
351,2,2,2
352,1,2,2
353,2,4,4
354,2,2,2
355,2,2,2
356,1,2,2
357,4,4,4
358,4,4,4
359,4,4,4
360,4,4,4
361,4,4,4
362,4,4,4
363,4,4,4
364,4,4,4
365,4,4,4
366,4,4,4
367,4,4,4
368,3,3,3
369,3,3,3
370,3,3,3
371,3,3,1
372,1,3,1
373,1,1,1
374,2,4,4
375,2,2,2
376,2,2,2
377,2,2,2
378,1,1,1
379,3,3,1
380,3,3,3
381,3,3,3
382,4,4,4
383,4,4,4
384,2,4,4
385,2,2,2
386,2,2,2
387,2,2,2
388,2,2,2
389,2,2,2
390,1,2,2
391,5,5,5
392,4,5,4
393,4,4,4
394,4,4,4
395,4,4,4
396,4,4,4
397,4,4,4
398,4,4,4
399,3,3,3
400,3,3,3
401,3,3,3
402,3,3,3
403,3,3,3
404,3,3,3
405,3,3,3
406,3,3,3
407,3,3,3
408,3,3,3
409,4,4,4
410,3,3,3
411,3,3,3
412,3,3,3
413,3,3,3
414,3,3,3
415,3,3,3
416,3,3,3
417,1,3,3
418,1,1,3
419,3,1,3
420,2,4,4
421,3,3,3
422,3,3,3
